CollectorID,Title,Date Created
452938925,Link para celular,09/14/2023 04:49:00 PM
452948515,PARA TESTE TABLET,09/15/2023 11:00:00 AM
453886229,07 - Balsa - Vermelho,11/17/2023 02:07:00 PM
453886298,06 - Pererinha - Saco,11/17/2023 02:10:00 PM
453886308,05 - Pererinha - Totem estouro,11/17/2023 02:10:00 PM
453886322,04 - Beira-Mar - Vermelho,11/17/2023 02:11:00 PM
453886332,03 - Beira-Mar - Azul,11/17/2023 02:11:00 PM
453886352,01 - Balsa a partir de 23/12/2023 (ex-CIT-T. estouro),11/17/2023 02:12:00 PM
453886339,02 - CIT - Totem PBC,11/17/2023 02:12:00 PM
453886430,PARA TESTE DE LINK,11/17/2023 02:15:00 PM
454521810,6 - Pererinha - Via Link,12/28/2023 09:47:00 AM
454535513,Web Link 6,12/30/2023 01:04:00 PM
454615331,CIT,01/08/2024 02:39:00 PM
454615659,Balsa - Continente,01/08/2024 02:58:00 PM
454615687,Balsa - Ilha Comprida,01/08/2024 02:59:00 PM
454615789,Pereirinha,01/08/2024 03:05:00 PM
